iteration_num,svm,decision_trees,neural_net
0,0.27027027027027023,0.20895522388059704,0.20895522388059704
1,0.17142857142857143,0.23255813953488372,0.23255813953488372
2,0.2222222222222222,0.16901408450704225,0.16666666666666666
3,0.4666666666666667,0.2978723404255319,0.28571428571428564
4,0.358974358974359,0.3018867924528302,0.29090909090909095
5,0.15789473684210525,0.1492537313432836,0.1492537313432836
6,0.32432432432432434,0.19672131147540983,0.1904761904761905
7,0.3181818181818182,0.25806451612903225,0.25806451612903225
8,0.0,0.03508771929824562,0.03125
9,0.2777777777777778,0.2580645161290323,0.2580645161290323
10,0.16666666666666666,0.13043478260869565,0.12244897959183673
11,0.29629629629629634,0.23255813953488372,0.23255813953488372
12,0.20408163265306123,0.1481481481481481,0.14457831325301201
13,0.13793103448275862,0.16,0.16
14,0.09090909090909093,0.05714285714285715,0.1
15,0.15384615384615385,0.33333333333333337,0.3255813953488372
16,0.42857142857142855,0.3829787234042553,0.3829787234042553
17,0.3225806451612903,0.18867924528301888,0.18867924528301888
18,0.18181818181818182,0.18666666666666668,0.18666666666666668
19,0.3404255319148936,0.29729729729729726,0.28205128205128205
20,0.3448275862068965,0.2692307692307693,0.2692307692307693
21,0.3636363636363636,0.27586206896551724,0.27586206896551724
22,0.21621621621621623,0.33962264150943394,0.3508771929824561
23,0.060606060606060615,0.06666666666666667,0.15384615384615383
24,0.14634146341463414,0.125,0.12121212121212123
25,0.06250000000000001,0.20289855072463767,0.20289855072463767
26,0.26666666666666666,0.16666666666666666,0.16
27,0.29629629629629634,0.27272727272727276,0.27272727272727276
28,0.14285714285714288,0.11764705882352941,0.11764705882352941
